,StockName,avg_profit,NTrades,total_profit,timeseries
0,ADANIPORTS,4.631198002730514,6587.0,30505.701243985895,1d
1,ADANIPOWER,0.7134935588743889,3385.0,2415.1756967898064,1d
2,ALBK,1.1217697054835012,4470.0,5014.31058351125,1d
3,AMBUJACEM,2.8230542039732245,5757.0,16252.323052273852,1d
4,ANDHRABANK,0.841168586244073,3578.0,3009.701201581293,1d
5,AXISBANK,5.907167158692359,5642.0,33328.23710934229,1d
6,BALRAMCHIN,2.3941379247950345,5268.0,12612.318587820242,1d
7,BANKBARODA,2.426725904331744,4968.0,12055.974292720104,1d
8,BANKINDIA,2.544340744021456,5704.0,14512.919603898385,1d
9,BHARATFIN,15.537670111668362,6402.0,99472.16405490086,1d
10,BHARTIARTL,4.6098562264276,5912.0,27253.470010639972,1d
11,CANBK,5.0239265422596535,6022.0,30254.085637487635,1d
12,COALINDIA,2.8249283140813053,4029.0,11381.636177433578,1d
13,DCBBANK,2.6645796725128594,6023.0,16048.763367544952,1d
14,DHFL,6.047428573037068,7774.0,47012.70972679016,1d
15,DISHTV,1.231740244638197,4399.0,5418.425336163429,1d
16,DLF,3.160893225021756,6206.0,19616.50335448502,1d
17,EQUITAS,2.700932998667214,4820.0,13018.497053575971,1d
18,FORTIS,3.3039626331877674,4611.0,15234.571701628794,1d
19,GAIL,4.95619552053192,5908.0,29281.20313530258,1d
20,GMRINFRA,0.47369227868954716,1942.0,919.9104052151006,1d
21,GRASIM,14.56800794645185,6786.0,98858.50192462225,1d
22,HDFCBANK,11.292750626177341,7420.0,83792.20964623587,1d
23,HDIL,1.4267445907274054,5032.0,7179.378780540304,1d
24,IBREALEST,4.566994136050462,6180.0,28224.023760791853,1d
25,ICICIBANK,3.3385007891756437,5787.0,19319.90406695945,1d
26,IDEA,2.376317238906446,4227.0,10044.692968857547,1d
27,IDFC,0.729171395510079,3462.0,2524.391371255894,1d
28,IDFCBANK,0.8774328974559281,2527.0,2217.2729318711304,1d
29,IFCI,0.4250722879239781,1944.0,826.3405277242134,1d
30,INFIBEAM,22.984769596653635,5717.0,131403.92778406883,1d
31,INFY,9.38086041957256,5464.0,51257.021332544464,1d
32,IOC,5.720272693094119,5892.0,33703.846707710545,1d
33,IRB,3.1599541653346184,5311.0,16782.516572092158,1d
34,ITC,3.4289538965128856,5474.0,18770.093629511535,1d
35,JINDALSTEL,2.9052943679927825,5830.0,16937.86616539792,1d
36,JISLJALEQS,1.5300452332980967,4784.0,7319.736396098095,1d
37,JPASSOCIAT,0.770814957484869,3301.0,2544.460174657552,1d
38,JSWENERGY,1.0696055423094075,4222.0,4515.874599630319,1d
39,JSWSTEEL,3.2465183861700253,6001.0,19482.35683540632,1d
40,JUSTDIAL,10.371339506184018,5028.0,52147.09503709324,1d
41,KOTAKBANK,7.448090900608189,6989.0,52054.70730435063,1d
42,KTKBANK,2.3019625928448995,5372.0,12366.1430487628,1d
43,L_TFH,2.386379570325062,6421.0,15322.943221057223,1d
44,M_MFIN,6.722882826346747,6003.0,40357.46560655952,1d
45,MANAPPURAM,1.9266770660044932,5076.0,9779.812787038807,1d
46,MOTHERSUMI,4.355389476250053,6310.0,27482.50759513784,1d
47,NATIONALUM,1.3343446810699424,4047.0,5400.0929242900565,1d
48,NCC,1.2807303474989078,4180.0,5353.452852545434,1d
49,NHPC,0.3891476004120905,1944.0,756.5029352011039,1d
50,NMDC,1.6725300359746673,4590.0,7676.912865123723,1d
51,NTPC,1.3818993808213627,4631.0,6399.576032583731,1d
52,PCJEWELLER,9.196216098318748,5636.0,51829.873930124464,1d
53,PFC,1.955344071777701,5430.0,10617.518309752917,1d
54,PNB,2.4573893375916507,5468.0,13437.004897951145,1d
55,POWERGRID,1.778975969665115,5543.0,9860.863799853732,1d
56,PTC,1.533702651766937,5619.0,8617.875200278419,1d
57,RCOM,0.5907364182080611,2993.0,1768.074099696727,1d
58,RDEL,0.9919798301559143,3780.0,3749.683757989356,1d
59,RECLTD,3.1007560316871876,5809.0,18012.291788070874,1d
60,RELCAPITAL,11.423773802204174,6980.0,79737.94113938513,1d
61,RELIANCE,21.106019330920784,5965.0,125897.40530894249,1d
62,RPOWER,0.41820140111941684,2916.0,1219.4752856642194,1d
63,SOUTHBANK,0.31376303899932256,2385.0,748.3248480133843,1d
64,SRTRANSFIN,14.184188558887609,5605.0,79502.37687256504,1d
65,SUNTV,14.003455883370805,6010.0,84160.76985905854,1d
66,SUZLON,0.3452803495357478,1845.0,637.0422448934547,1d
67,SYNDIBANK,1.1546845062821807,4126.0,4764.228272920277,1d
68,TATAMTRDVR,2.978225053782948,4825.0,14369.935884502724,1d
69,TV18BRDCST,0.6169463534094715,3054.0,1884.1541633125257,1d
70,TVSMOTOR,6.032036792904767,6668.0,40221.62133508899,1d
71,UJJIVAN,7.372043102300715,4979.0,36705.40260635526,1d
72,UNIONBANK,2.6656237178015325,5525.0,14727.571040853467,1d
73,YESBANK,20.94698508256793,6790.0,142230.02871063625,1d
