,StockName,avg_profit,NTrades,total_profit,timeseries
0,ADANIPORTS,29.347532611397902,730.0,21423.69880632047,14d
1,ADANIPOWER,2.5490469762896475,221.0,563.3393817600121,14d
2,ALBK,5.702519683276435,355.0,2024.3944875631346,14d
3,AMBUJACEM,14.449575522991763,632.0,9132.131730530795,14d
4,ANDHRABANK,5.85958425194487,383.0,2244.2207684948853,14d
5,AXISBANK,14.013680937139952,577.0,8085.893900729752,14d
6,BALRAMCHIN,8.092968248794401,529.0,4281.180203612238,14d
7,BANKBARODA,10.314845170994866,341.0,3517.3622033092497,14d
8,BANKINDIA,18.096510190405436,494.0,8939.676034060285,14d
9,BHARATFIN,49.17432549580003,452.0,22226.795124101616,14d
10,BHARTIARTL,24.859039683581553,638.0,15860.067318125031,14d
11,CANBK,30.515386751668764,579.0,17668.408929216213,14d
12,COALINDIA,5.6690841319518555,38.0,215.42519701417052,14d
13,DCBBANK,27.645456770745735,629.0,17388.99230879907,14d
14,DHFL,59.058770937395764,727.0,42935.72647148672,14d
15,DISHTV,8.390254555147495,288.0,2416.3933118824784,14d
16,DLF,22.53252364590843,640.0,14420.815133381395,14d
17,EQUITAS,4.678314538000484,231.0,1080.6906582781116,14d
18,FORTIS,12.193731966517035,256.0,3121.595383428361,14d
19,GAIL,40.38592431174975,26.0,1050.0340321054935,14d
20,GMRINFRA,1.5213413153262594,592.0,900.6340586731455,14d
21,GRASIM,98.6753789865908,583.0,57527.745949182434,14d
22,HDFCBANK,150.40834870171176,738.0,111001.36134186329,14d
23,HDIL,10.95447295749228,543.0,5948.278815918308,14d
24,IBREALEST,51.06777741114939,713.0,36411.325294149516,14d
25,ICICIBANK,14.862027231935237,524.0,7787.702269534064,14d
26,IDEA,6.511242170340742,255.0,1660.3667534368892,14d
27,IDFC,2.7289071971221044,349.0,952.3886117956145,14d
28,IDFCBANK,2.2365983726576264,146.0,326.5433624080135,14d
29,IFCI,1.1755718074715575,205.0,240.99222053166932,14d
30,INFIBEAM,188.69837570067492,298.0,56232.11595880113,14d
31,INFY,26.443030385280895,325.0,8593.98487521629,14d
32,IOC,25.868169996480923,554.0,14330.966178050432,14d
33,IRB,14.239917018700702,328.0,4670.69278213383,14d
34,ITC,18.933264733759685,560.0,10602.628250905424,14d
35,JINDALSTEL,14.880831462086618,722.0,10743.960315626538,14d
36,JISLJALEQS,6.147448756802182,478.0,2938.4805057514427,14d
37,JPASSOCIAT,4.696262093378076,475.0,2230.724494354586,14d
38,JSWENERGY,2.2355998781082724,387.0,865.1771528279014,14d
39,JSWSTEEL,17.671163256924192,415.0,7333.532751623539,14d
40,JUSTDIAL,75.36555111292613,327.0,24644.535213926843,14d
41,KOTAKBANK,77.28426039870929,738.0,57035.784174247456,14d
42,KTKBANK,21.380087115045793,548.0,11716.287739045094,14d
43,L_TFH,19.484878588059303,738.0,14379.840397987766,14d
44,M_MFIN,36.77222524907497,685.0,25188.974295616354,14d
45,MANAPPURAM,5.507882294136563,507.0,2792.4963231272372,14d
46,MOTHERSUMI,46.5731867199217,507.0,23612.6056670003,14d
47,NATIONALUM,2.1931100621715247,342.0,750.0436412626615,14d
48,NCC,6.1760904687419185,377.0,2328.386106715703,14d
49,NHPC,1.0201276243707418,409.0,417.2321983676334,14d
50,NMDC,3.3424798450817903,113.0,377.7002224942423,14d
51,NTPC,5.304033749519381,241.0,1278.2721336341708,14d
52,PCJEWELLER,48.64200537607588,463.0,22521.248489123132,14d
53,PFC,13.999067350644578,325.0,4549.696888959488,14d
54,PNB,12.175914061251795,446.0,5430.4576713183005,14d
55,POWERGRID,8.4976893999502,558.0,4741.710685172212,14d
56,PTC,8.679878650766113,713.0,6188.753477996239,14d
57,RCOM,2.4484682178077954,172.0,421.1365334629408,14d
58,RDEL,3.6169082647369386,335.0,1211.6642686868745,14d
59,RECLTD,28.758094976479782,476.0,13688.853208804376,14d
60,RELCAPITAL,86.16187250062627,685.0,59020.882662929,14d
61,RELIANCE,152.99721610506776,738.0,112911.94548554001,14d
62,RPOWER,1.8075529383887354,300.0,542.2658815166207,14d
63,SOUTHBANK,2.9836282527848588,584.0,1742.4388996263574,14d
64,SRTRANSFIN,52.303292978199444,406.0,21235.136949148975,14d
65,SUNTV,102.39018288797608,548.0,56109.82022261089,14d
66,SUZLON,1.49285804757423,402.0,600.1289351248404,14d
67,SYNDIBANK,5.810763744992253,498.0,2893.760345006142,14d
68,TATAMTRDVR,2.85925696209046,46.0,131.52582025616115,14d
69,TV18BRDCST,1.9811296551961357,317.0,628.018100697175,14d
70,TVSMOTOR,61.25484958379852,738.0,45206.07899284331,14d
71,UJJIVAN,31.064384009115482,184.0,5715.846657677249,14d
72,UNIONBANK,11.804007878812056,403.0,4757.015175161258,14d
73,YESBANK,134.90257368567976,552.0,74466.22067449523,14d
