,StockName,avg_profit,NTrades,total_profit,timeseries
0,ADANIPORTS,10.479268111663389,3531.0,37002.29570228342,5d
1,ADANIPOWER,1.1708567416144642,2464.0,2884.9910113380397,5d
2,ALBK,2.8678546506219447,2755.0,7900.939562463458,5d
3,AMBUJACEM,6.938962046317703,3653.0,25348.028355198567,5d
4,ANDHRABANK,2.269124605886442,2484.0,5636.5055210219225,5d
5,AXISBANK,9.126701916934215,3255.0,29707.41473962087,5d
6,BALRAMCHIN,4.519774918662045,3225.0,14576.274112685094,5d
7,BANKBARODA,5.908111757926755,2327.0,13748.17606069556,5d
8,BANKINDIA,8.687108383219671,2909.0,25270.798286786026,5d
9,BHARATFIN,35.15282947836886,3340.0,117410.45045775198,5d
10,BHARTIARTL,12.39777402862803,3164.0,39226.55702657909,5d
11,CANBK,11.95642229834749,3043.0,36383.39305387141,5d
12,COALINDIA,4.935933816207086,1314.0,6485.817034496112,5d
13,DCBBANK,6.558722151721401,3879.0,25441.283226527314,5d
14,DHFL,17.899875727339396,4158.0,74427.68327427721,5d
15,DISHTV,3.057202271681744,2508.0,7667.463297377813,5d
16,DLF,7.67499789301903,3645.0,27975.367320054364,5d
17,EQUITAS,6.355739375223073,2338.0,14859.718659271544,5d
18,FORTIS,7.06750264573773,1882.0,13301.039979278408,5d
19,GAIL,11.97487438303698,3204.0,38367.49752325048,5d
20,GMRINFRA,0.8375556734153222,2045.0,1712.801352134334,5d
21,GRASIM,40.27504619024206,3695.0,148816.2956729444,5d
22,HDFCBANK,31.29149944918089,4799.0,150167.9058566191,5d
23,HDIL,3.439009546350533,2719.0,9350.666956527099,5d
24,IBREALEST,13.136139359967721,3554.0,46685.83928532528,5d
25,ICICIBANK,7.664297158551362,3123.0,23935.600026155902,5d
26,IDEA,6.773629406130897,2305.0,15613.215781131716,5d
27,IDFC,1.4916043163302444,2057.0,3068.230078691313,5d
28,IDFCBANK,2.206853838943387,1273.0,2809.3249369749315,5d
29,IFCI,1.0588061706913714,1735.0,1837.0287061495294,5d
30,INFIBEAM,63.08252223617576,3296.0,207919.99329043532,5d
31,INFY,20.34649190000525,2748.0,55912.15974121443,5d
32,IOC,17.47454010994677,2668.0,46622.073013337984,5d
33,IRB,5.881777920654211,2584.0,15198.514146970481,5d
34,ITC,8.783736210377448,3026.0,26579.58577260216,5d
35,JINDALSTEL,6.783708140340555,3495.0,23709.05995049024,5d
36,JISLJALEQS,3.5306177569066715,2697.0,9522.076090377293,5d
37,JPASSOCIAT,1.9393185459328566,2475.0,4799.81340118382,5d
38,JSWENERGY,1.6836766200239592,2287.0,3850.5684299947948,5d
39,JSWSTEEL,6.687911684438929,3204.0,21428.06903694233,5d
40,JUSTDIAL,32.007844996943625,2203.0,70513.2825282668,5d
41,KOTAKBANK,17.716373606873063,4434.0,78554.40057287517,5d
42,KTKBANK,5.456256302858045,3226.0,17601.882833020052,5d
43,L_TFH,5.697156590284783,4509.0,25688.47906559409,5d
44,M_MFIN,15.52660535156697,3311.0,51408.59031903824,5d
45,MANAPPURAM,4.186003602135583,2995.0,12537.08078839607,5d
46,MOTHERSUMI,11.26349999450258,3751.0,42249.38847937917,5d
47,NATIONALUM,2.490815982609604,2200.0,5479.795161741128,5d
48,NCC,2.9421296440097313,2327.0,6846.335681610644,5d
49,NHPC,0.7830682035382227,1689.0,1322.6021957760581,5d
50,NMDC,3.7882349544085967,1857.0,7034.752310336764,5d
51,NTPC,2.7680569279295075,2428.0,6720.842221012845,5d
52,PCJEWELLER,23.570149962376288,3060.0,72124.65888487145,5d
53,PFC,3.8319526059610376,2662.0,10200.657837068282,5d
54,PNB,6.624200791734191,2749.0,18209.92797647729,5d
55,POWERGRID,3.6754921280571384,3081.0,11324.191246544044,5d
56,PTC,3.6939476794484767,3323.0,12274.988138807288,5d
57,RCOM,1.3544108010722855,2238.0,3031.171372799775,5d
58,RDEL,1.9834764657120583,2201.0,4365.63170103224,5d
59,RECLTD,7.34028039910908,3209.0,23554.95980074104,5d
60,RELCAPITAL,29.434099802538547,4266.0,125565.86975762944,5d
61,RELIANCE,61.64843131465728,3134.0,193206.18374013592,5d
62,RPOWER,0.8146632539336085,2259.0,1840.3242906360215,5d
63,SOUTHBANK,0.8544265714865223,2533.0,2164.262505575361,5d
64,SRTRANSFIN,26.63614925192894,2556.0,68081.99748793038,5d
65,SUNTV,36.74892263871153,3140.0,115391.6170855542,5d
66,SUZLON,0.4522683871500182,1682.0,760.7154271863307,5d
67,SYNDIBANK,3.0698891803256796,2432.0,7465.9704865520525,5d
68,TATAMTRDVR,6.257100361803472,1579.0,9879.961471287683,5d
69,TV18BRDCST,1.1323992127293772,2282.0,2584.1350034484385,5d
70,TVSMOTOR,13.723173391275386,4531.0,62179.69863586878,5d
71,UJJIVAN,19.184199908543317,2309.0,44296.31758882652,5d
72,UNIONBANK,6.115286011479698,2783.0,17018.840969948,5d
73,YESBANK,50.098313591406736,3806.0,190674.18152889403,5d
